id,alias,call_sign,code_iata,code_icao,country_id,name
01,,,01,,de,Bobb Air Freight
0B,,BLUE TRANSPORT,0B,JOR,ro,Blue Air
0D,,DARWIN,0D,DWT,ch,Darwin Airline
0G,,,0G,SAR,pl,Sprintair
0X,,Copex,0X,CX0,dk,Copenhagen Express
11,,,11,,de,TUIfly (X3)
12,,12N,12,N12,in,12 North
13,,EAVA,13,EAV,us,Eastern Atlantic Virtual Airlines
1B,,,1B,,sg,Abacus International
1C,OneChina,,1C,1CH,cn,OneChina
1F,,,1F,CIF,gb,CB Airways UK ( Interliging Flights )
1I,,FRACTION,1I,NJE,pt,NetJets Europe
1I,,EXECJET,1I,EJA,us,NetJets
1I,,NAVIGATOR,1I,NVR,se,Novair
1T,,NEXTIME,1T,RNX,za,1Time Airline
20,,AIR SALONE,20,RNE,sl,Air Salone
24,,,24,,de,Euro Jet
2A,,,2A,,de,Deutsche Bahn
2B,,AEROCONDOR,2B,ARD,pt,Aerocondor
2D,,,2D,,pt,Aero VIP (2D)
2F,,FRONTIER-AIR,2F,FTA,us,Frontier Flying Service
2I,,,2I,,pe,Star Peru (2I)
2J,,BURKINA,2J,VBW,bf,Air Burkina
2K,,AEROGAL,2K,GLG,ec,Aerolineas Galapagos (Aerogal)
2L,,HELVETIC,2L,OAW,ch,Helvetic Airways
2M,,MOLDAVIAN,2M,MDV,md,Moldavian Airlines
2N,,NEXTJET,2N,NTJ,se,NextJet
2O,,,2O,,sl,Air Salone
2P,,ORIENT PACIFIC,2P,GAP,ph,Air Philippines
2Q,,NIGHT CARGO,2Q,SNC,us,Air Cargo Carriers
2T,,,2T,HAM,ht,Haiti Ambassador Airlines
2U,,FUTURE EXPRESS,2U,GIP,gn,Air Guinee Express
2W,,WELCOMEAIR,2W,WLC,at,Welcome Air
2X,Regionalia Uruguay,,2X,2K2,uy,Regionalia Uruguay
2Y,,MYINDO,2Y,MYU,id,My Indo Airlines
3B,,,3B,,cz,JobAir
3E,,,3E,,us,Air Choice One
3F,,,3F,3FF,co,Fly Colombia ( Interliging Flights )
3G,,ATLANT-SOYUZ,3G,AYZ,ru,Atlant-Soyuz Airlines
3G,,ASIA CARGO,3G,CXM,my,AsiaCargo Express
3I,,,3I,,cl,Air Comet Chile
3K,,JETSTAR ASIA,3K,JSA,sg,Jetstar Asia Airways
3L,,INTERSKY,3L,ISK,at,Intersky
3O,,Air Arabia,3O,,ma,Air Arabia Maroc
3P,,TIARA,3P,TNM,aw,Tiara Air
3Q,,YUNNAN,3Q,CYH,cn,Yunnan Airlines
3R,,GROMOV AIRLINE,3R,GAI,ru,Moskovia Airlines
3S,,GREEN BIRD,3S,,gp,Air Antilles Express
3T,,TURAN,3T,URN,az,Turan Air
3U,,SI CHUAN,3U,CSC,cn,Sichuan Airlines
3W,,,3W,,mw,Malawian Airlines
47,,,47,VVN,cy,88
4A,,,4A,AKL,ki,Air Kiribati
4C,, Aerovias de Integracion Regional,4C,ARE,,Aires
4D,,AIR SINAI,4D,ASD,eg,Air Sinai
4G,,GAZPROMAVIA,4G,GZP,ru,Gazpromavia
4H,,UNITED BANGLADESH,4H,UBD,bd,United Airways
4K,,AL-AAS,4K,AAS,pk,Askari Aviation
4L,,GEO-LINE,4L,MJX,ge,Euroline
4M,,LAN AR,4M,DSM,ar,LAN Argentina
4N,,AIR NORTH,4N,ANT,ca,Air North Charter - Canada
4O,,INTERJET,4O,,mx,Interjet (ABC Aerolineas)
4P,,AFRICAN BUSINESS,4P,,,Business Aviation
4Q,,,4Q,,af,Safi Airlines
4R,,HAMBURG JET,4R,HHI,de,Hamburg International
4T,,BELAIR,4T,BHP,ch,Belair Airlines
4U,,GERMAN WINGS,4U,GWI,de,Germanwings
4X,,,4X,,mx,Red Jet Mexico
4Z,,,4Z,,za,Airlink (SAA)
5C,,CAL,5C,ICL,il,CAL Cargo Air Lines
5D,,COSTERA,5D,SLI,mx,Aerolitoral
5D,,DONBASS AERO,5D,UDC,ua,DonbassAero
5E,,SIAM,5E,,th,SGA Airlines
