id,code_iata,code_icao,country_id,municipality,name,timezone_id
00ak,,00ak,us,Anchor Point,Lowell Field,America/Anchorage
00al,,00al,us,Harvest,Epps Airpark,America/Chicago
00az,,00az,us,Cordes,Cordes Airport,America/Phoenix
00ca,,00ca,us,Barstow,Goldstone /Gts/ Airport,America/Los_Angeles
00co,,00co,us,Briggsdale,Cass Field,America/Denver
00fa,,00fa,us,Bushnell,Grass Patch Airport,America/New_York
00fl,,00fl,us,Okeechobee,River Oak Airport,America/New_York
00ga,,00ga,us,Lithonia,Lt World Airport,America/New_York
00id,,00id,us,Clark Fork,Delta Shores Airport,America/Los_Angeles
00il,,00il,us,Polo,Hammer Airport,America/Chicago
00is,,00is,us,Kings,Hayenga's Cant Find Farms Airport,America/Chicago
00ks,,00ks,us,Gardner,Hayden Farm Airport,America/Chicago
00ky,,00ky,us,Stanford,Robbins Roost Airport,America/New_York
00ls,,00ls,us,Esterwood,Lejeune Airport,America/Chicago
00md,,00md,us,Federalsburg,Slater Field,America/New_York
00mn,,00mn,us,Battle Lake,Battle Lake Municipal Airport,America/Chicago
00mo,,00mo,us,Alba,Cooper Flying Service Airport,America/Chicago
00mt,,00mt,us,Havre,Sands Ranch Airport,America/Denver
00nc,,00nc,us,Louisburg,North Raleigh Airport,America/New_York
00ny,,00ny,us,West Bloomfield,Weiss Airfield,America/New_York
00oh,,00oh,us,Wauseon,Exit 3 Airport,America/New_York
00pn,,00pn,us,Mercer,Ferrell Field,America/New_York
00ps,,00ps,us,Loysville,Thomas Field,America/New_York
00sc,,00sc,us,Sumter,Flying O Airport,America/New_York
00tn,,00tn,us,Manchester,Ragsdale Road Airport,America/Chicago
00ts,,00ts,us,Everman,Alpine Range Airport,America/Chicago
00va,,00va,us,Alton,Vaughan Airport,America/New_York
00vi,,00vi,us,Hillsville,Groundhog Mountain Airport,America/New_York
00wa,,00wa,us,Longbranch,Howell Airport,America/Los_Angeles
00wi,,00wi,us,Waupaca,Northern Lite Airport,America/Chicago
00wn,,00wn,us,Asotin,Hawks Run Airport,America/Los_Angeles
00wv,,00wv,us,Beverly,Lazy J. Aerodrome,America/New_York
00xs,,00xs,us,O'Donnell,L P Askew Farms Airport,America/Chicago
01al,,01al,us,Clanton,Ware Island Airport,America/Chicago
01cl,,01cl,us,Placerville,Swansboro Country Airport,America/Los_Angeles
01fa,,01fa,us,Orlando,Rybolt Ranch Airport,America/New_York
01fl,,01fl,us,Geneva,Cedar Knoll Flying Ranch Airport,America/New_York
01ge,,01ge,us,Wrightsville,The Farm Airport,America/New_York
01ia,,01ia,us,Maysville,Stender Airport,America/Chicago
01id,,01id,us,Lava Hot Springs,Lava Hot Springs Airport,America/Boise
01ii,,01ii,us,Lizton,Myers Field,America/Indiana/Indianapolis
01is,,01is,us,Dow,William E. Koenig Airport,America/Chicago
01ks,,01ks,us,Lost Springs,Flying N Ranch Airport,America/Chicago
01la,,01la,us,Oak Ridge,Barham Airport,America/Chicago
01ll,,01ll,us,Pinckneyville,Schumaier Restricted Landing Area,America/Chicago
01ls,,01ls,us,Slaughter,Country Breeze Airport,America/Chicago
