id,code,country_id,long_name,name,time_offset
Africa/Abidjan,Africa/Abidjan,ci,Africa/Abidjan,Abidjan,+00:00
Africa/Accra,Africa/Accra,gh,Africa/Accra,Accra,+00:00
Africa/Addis_Ababa,Africa/Addis_Ababa,et,Africa/Addis Ababa,Addis Ababa,+03:00
Africa/Algiers,Africa/Algiers,dz,Africa/Algiers,Algiers,+01:00
Africa/Asmara,Africa/Asmara,er,Africa/Asmara,Asmara,+03:00
Africa/Bamako,Africa/Bamako,ml,Africa/Bamako,Bamako,+00:00
Africa/Bangui,Africa/Bangui,cf,Africa/Bangui,Bangui,+01:00
Africa/Banjul,Africa/Banjul,gm,Africa/Banjul,Banjul,+00:00
Africa/Bissau,Africa/Bissau,gw,Africa/Bissau,Bissau,+00:00
Africa/Blantyre,Africa/Blantyre,mw,Africa/Blantyre,Blantyre,+02:00
Africa/Brazzaville,Africa/Brazzaville,cg,Africa/Brazzaville,Brazzaville,+01:00
Africa/Bujumbura,Africa/Bujumbura,bi,Africa/Bujumbura,Bujumbura,+02:00
Africa/Cairo,Africa/Cairo,eg,Africa/Cairo,Cairo,+02:00
Africa/Casablanca,Africa/Casablanca,ma,Africa/Casablanca,Casablanca,+01:00
Africa/Ceuta,Africa/Ceuta,es,Africa/Ceuta,Ceuta,+01:00
Africa/Conakry,Africa/Conakry,gn,Africa/Conakry,Conakry,+00:00
Africa/Dakar,Africa/Dakar,sn,Africa/Dakar,Dakar,+00:00
Africa/Dar_es_Salaam,Africa/Dar_es_Salaam,tz,Africa/Dar es Salaam,Dar es Salaam,+03:00
Africa/Djibouti,Africa/Djibouti,dj,Africa/Djibouti,Djibouti,+03:00
Africa/Douala,Africa/Douala,cm,Africa/Douala,Douala,+01:00
Africa/El_Aaiun,Africa/El_Aaiun,eh,Africa/El Aaiun,El Aaiun,+01:00
Africa/Freetown,Africa/Freetown,sl,Africa/Freetown,Freetown,+00:00
Africa/Gaborone,Africa/Gaborone,bw,Africa/Gaborone,Gaborone,+02:00
Africa/Harare,Africa/Harare,zw,Africa/Harare,Harare,+02:00
Africa/Johannesburg,Africa/Johannesburg,za,Africa/Johannesburg,Johannesburg,+02:00
Africa/Juba,Africa/Juba,ss,Africa/Juba,Juba,+02:00
Africa/Kampala,Africa/Kampala,ug,Africa/Kampala,Kampala,+03:00
Africa/Khartoum,Africa/Khartoum,sd,Africa/Khartoum,Khartoum,+02:00
